activity_id,activity_name,level,parent_id,planned_start,planned_finish,planned_progress,actual_progress,dependency,milestone,status
L1-001,INDRAVATI RIVER PUMPING STATION PROJECT,1,,01-01-2026,31-12-2026,72,58,,,in_progress
L2-001,CIVIL WORKS,2,L1-001,01-01-2026,30-09-2026,78,61,,,in_progress
L2-002,MECHANICAL WORKS,2,L1-001,01-03-2026,30-11-2026,55,42,,,delayed
L2-003,ELECTRICAL WORKS,2,L1-001,01-04-2026,31-12-2026,40,35,,,in_progress
L2-004,INSTRUMENTATION & CONTROL,2,L1-001,01-05-2026,31-12-2026,25,20,,,in_progress
L3-001,SITE PREPARATION & EARTHWORK,3,L2-001,01-01-2026,28-02-2026,100,100,,,completed
L3-002,PUMP HOUSE STRUCTURE,3,L2-001,01-02-2026,31-05-2026,95,72,L3-001,,delayed
L3-003,INTAKE STRUCTURE,3,L2-001,01-03-2026,30-06-2026,80,65,L3-001,,delayed
L3-004,PUMP HOUSE FOUNDATION,3,L2-001,01-02-2026,31-03-2026,100,85,L3-001,,delayed
L3-005,RISING MAIN PIPELINE,3,L2-001,01-04-2026,31-08-2026,60,38,L3-004,,delayed
L3-006,WATER TREATMENT PLANT,3,L2-001,01-05-2026,30-09-2026,35,28,L3-003,,in_progress
L3-007,MAIN PUMP INSTALLATION,3,L2-002,01-05-2026,30-07-2026,70,45,L3-004,,delayed
L3-008,ELECTRICAL SUBSTATION,3,L2-003,01-04-2026,31-08-2026,50,42,,,in_progress
L3-009,CONTROL ROOM,3,L2-004,01-06-2026,30-09-2026,20,18,L3-008,,in_progress
L4-001,FOUNDATION EXCAVATION,4,L3-004,01-02-2026,15-02-2026,100,100,,,completed
L4-002,PCC LEAN CONCRETE,4,L3-004,15-02-2026,25-02-2026,100,100,L4-001,,completed
L4-003,REINFORCEMENT BAR FIXING,4,L3-004,25-02-2026,10-03-2026,100,92,L4-002,,in_progress
L4-004,FOUNDATION CONCRETE POURING,4,L3-004,10-03-2026,25-03-2026,100,78,L4-003,,delayed
L4-005,COLUMN SHUTTERING & CONCRETING,4,L3-002,01-03-2026,30-04-2026,90,62,L4-004,,delayed
L4-006,ROOF SLAB WORK,4,L3-002,01-05-2026,31-05-2026,75,40,L4-005,,delayed
L4-007,BRICK MASONRY WALLS,4,L3-002,15-04-2026,30-06-2026,60,35,L4-005,,delayed
L4-008,WATERPROOFING & PLASTERING,4,L3-002,01-06-2026,31-07-2026,20,5,L4-007,,not_started
L4-009,INTAKE CHANNEL EXCAVATION,4,L3-003,01-03-2026,20-03-2026,100,100,,,completed
L4-010,INTAKE CHANNEL LINING,4,L3-003,20-03-2026,10-04-2026,100,88,L4-009,,in_progress
L4-011,SCREEN CHAMBER CONSTRUCTION,4,L3-003,10-04-2026,30-05-2026,75,60,L4-010,,in_progress
L4-012,STOP LOG GATE INSTALLATION,4,L3-003,01-06-2026,30-06-2026,30,15,L4-011,,delayed
L4-013,PIPELINE TRENCH EXCAVATION,4,L3-005,01-04-2026,30-04-2026,100,95,L3-004,,in_progress
L4-014,PIPE LAYING 600mm DIA,4,L3-005,01-05-2026,30-06-2026,50,22,L4-013,,delayed
L4-015,THRUST BLOCK CONSTRUCTION,4,L3-005,15-05-2026,15-07-2026,35,10,L4-014,,delayed
L4-016,HYDROSTATIC TESTING,4,L3-005,01-07-2026,31-07-2026,0,0,L4-015,YES,not_started
L4-017,PUMP FOUNDATION CIVIL WORK,4,L3-007,01-05-2026,31-05-2026,80,55,L3-004,,delayed
L4-018,MAIN PUMP SUPPLY & DELIVERY,4,L3-007,01-04-2026,30-04-2026,70,48,,,delayed
L4-019,PUMP INSTALLATION & ALIGNMENT,4,L3-007,01-06-2026,30-06-2026,30,5,L4-017,,delayed
L4-020,PUMP TRIAL RUN,4,L3-007,01-07-2026,15-07-2026,0,0,L4-019,YES,not_started
L5-001,Pump House — Grade Beam Casting,5,L4-004,10-03-2026,18-03-2026,100,82,L4-003,,delayed
L5-002,Pump House — Plinth Beam Shuttering,5,L4-004,18-03-2026,25-03-2026,100,70,L5-001,,delayed
L5-003,Pump House Column L1 — Rebar,5,L4-005,01-03-2026,08-03-2026,100,90,L5-002,,in_progress
L5-004,Pump House Column L1 — Concreting,5,L4-005,08-03-2026,15-03-2026,100,68,L5-003,,delayed
L5-005,Pump House Column L2 — Rebar,5,L4-005,15-03-2026,22-03-2026,90,52,L5-004,,delayed
L5-006,Pump House Column L2 — Concreting,5,L4-005,22-03-2026,30-03-2026,80,35,L5-005,,delayed
L5-007,Pump House Roof Slab — Shuttering,5,L4-006,01-05-2026,12-05-2026,75,38,L5-006,,delayed
L5-008,Pump House Roof Slab — Rebar,5,L4-006,12-05-2026,22-05-2026,65,25,L5-007,,delayed
L5-009,Rising Main — Trench Excavation Km 0-1,5,L4-013,01-04-2026,10-04-2026,100,100,,,completed
L5-010,Rising Main — Trench Excavation Km 1-2,5,L4-013,10-04-2026,20-04-2026,100,95,L5-009,,in_progress
L5-011,Rising Main — Trench Excavation Km 2-4,5,L4-013,20-04-2026,30-04-2026,100,85,L5-010,,in_progress
L5-012,Pipe Laying — 600mm DIA Km 0-1,5,L4-014,01-05-2026,15-05-2026,60,20,L5-009,,delayed
L5-013,Pipe Laying — 600mm DIA Km 1-2,5,L4-014,15-05-2026,30-05-2026,40,0,L5-012,,not_started
L5-014,Delivery of MS Pipes — Lot 1,5,L4-018,01-04-2026,15-04-2026,100,72,,,delayed
L5-015,Delivery of MS Pipes — Lot 2,5,L4-018,15-04-2026,30-04-2026,80,30,L5-014,,delayed
L5-016,Pump Foundation Excavation & PCC,5,L4-017,01-05-2026,10-05-2026,80,58,L3-004,,delayed
L5-017,Pump Foundation Reinforcement,5,L4-017,10-05-2026,20-05-2026,70,42,L5-016,,delayed
L5-018,Pump Foundation Concrete Casting,5,L4-017,20-05-2026,31-05-2026,55,18,L5-017,,delayed
L5-019,Intake Screen Chamber — Walls,5,L4-011,10-04-2026,25-04-2026,85,70,L4-010,,in_progress
L5-020,Intake Screen Chamber — Roof,5,L4-011,25-04-2026,10-05-2026,70,50,L5-019,,in_progress
L5-021,Stop Log Gate — Supply & Delivery,5,L4-012,01-05-2026,15-05-2026,60,25,,,delayed
L5-022,Stop Log Gate — Erection & Grouting,5,L4-012,15-06-2026,30-06-2026,20,0,L5-021,,not_started
L5-023,Construction of Reinforced Concrete Foundation for Pump House,5,L4-004,01-03-2026,31-03-2026,100,78,L4-003,,delayed
L5-024,Electrical HT Line Erection,5,L3-008,01-04-2026,30-05-2026,60,50,,,in_progress
L5-025,Transformer Installation,5,L3-008,01-06-2026,30-06-2026,25,20,L5-024,YES,in_progress
L5-026,LT Panel & MCC Erection,5,L3-008,01-07-2026,31-07-2026,10,5,L5-025,,not_started
L5-027,PLC SCADA System Supply,5,L3-009,01-06-2026,30-06-2026,20,15,,,in_progress
L5-028,SCADA Installation & Commissioning,5,L3-009,01-07-2026,31-08-2026,5,2,L5-027,YES,not_started
L6-001,Pump House Foundation — Grade Beam Rebar Cutting & Bending,6,L5-001,10-03-2026,12-03-2026,100,100,,,completed
L6-002,Pump House Foundation — Grade Beam Formwork,6,L5-001,12-03-2026,14-03-2026,100,95,L6-001,,in_progress
L6-003,Pump House Foundation — Grade Beam M25 Concrete,6,L5-001,14-03-2026,18-03-2026,100,72,L6-002,,delayed
L6-004,Column L1 (Axis A) — Rebar,6,L5-003,01-03-2026,03-03-2026,100,100,,,completed
L6-005,Column L1 (Axis B) — Rebar,6,L5-003,03-03-2026,06-03-2026,100,88,L6-004,,in_progress
L6-006,Column L1 (Axis A) — Concreting,6,L5-004,08-03-2026,10-03-2026,100,75,L6-004,,delayed
L6-007,Column L1 (Axis B) — Concreting,6,L5-004,10-03-2026,13-03-2026,100,60,L6-006,,delayed
L6-008,Pipe Laying — Km 0+000 to 0+200,6,L5-012,01-05-2026,04-05-2026,60,22,,,delayed
L6-009,Pipe Laying — Km 0+200 to 0+400,6,L5-012,04-05-2026,08-05-2026,45,0,L6-008,,not_started
L6-010,Pipe Laying — Km 0+400 to 0+600,6,L5-012,08-05-2026,12-05-2026,30,0,L6-009,,not_started
